step,train_loss,val_loss
1,0.693147361,0.693147361
101,0.467534155,0.514366508
201,0.369327545,0.510939062
301,0.51146096,0.409511417
401,0.471786857,0.390601933
501,0.476707131,0.467350125
601,0.362433881,0.359956056
701,0.476691723,0.409989119
801,0.393411517,0.577342153
901,0.430407524,0.449555546
1001,0.407721937,0.351602644
1101,0.542844594,0.496827424
1201,0.358306944,0.449863523
1301,0.392415315,0.480880111
1401,0.399523586,0.420517623
1501,0.345803171,0.356059641
1601,0.436516285,0.519789577
1701,0.529422641,0.526354134
1801,0.493751168,0.524315894
1901,0.487034261,0.389485389
2001,0.423788011,0.453567922
2101,0.483385652,0.545672178
2201,0.479322433,0.560216069
2301,0.457149714,0.384371936
2401,0.48522526,0.393809855
2501,0.508980453,0.379242271
2601,0.551340699,0.491510957
2701,0.423554778,0.378132343
2801,0.510365784,0.400167912
2901,0.385103494,0.361545444
3001,0.492126584,0.392662019
3101,0.457066,0.487193316
3201,0.468651265,0.370154619
3301,0.524855971,0.484029502
3401,0.364896804,0.386396646
3501,0.44367972,0.408431202
3601,0.394349337,0.362932086
3701,0.460930169,0.359372944
3801,0.438151389,0.454668552
3901,0.422934085,0.397255093
4001,0.472219169,0.353013158
4101,0.380405366,0.518013239
4201,0.4314349,0.494324386
4301,0.455174178,0.347806752
4401,0.508788943,0.407113045
4501,0.436917931,0.366754681
4601,0.420876801,0.460871756
4701,0.531350374,0.410705447
4801,0.363416642,0.367044449
4901,0.342752635,0.409028858
5001,0.553351462,0.481270254
5101,0.402337492,0.341525465
5201,0.360634953,0.419213802
5301,0.48935625,0.384316504
5401,0.440422177,0.417950988
5501,0.393118799,0.440690905
5601,0.459012806,0.45920521
5701,0.483139187,0.424140573
5801,0.332943678,0.486261487
5901,0.546629369,0.476943433
6001,0.486747473,0.466495603
6101,0.412002921,0.477283716
6201,0.432029337,0.51193893
6301,0.463687986,0.344070882
6401,0.392071843,0.495109588
6501,0.316542774,0.374955833
6601,0.419726908,0.553364038
6701,0.446311593,0.399152994
6801,0.391802549,0.381585389
6901,0.354940355,0.470955729
7001,0.487969548,0.449419856
7101,0.391420692,0.475942165
7201,0.518291175,0.366019785
7301,0.306558847,0.520781338
7401,0.552946806,0.351198077
7501,0.417295098,0.431696147
7601,0.416427314,0.548368931
7701,0.341745079,0.379311144
7801,0.426955402,0.403744608
7901,0.386232108,0.416567981
8001,0.357553899,0.500959396
8101,0.391754657,0.377429754
8201,0.458820909,0.545722067
8301,0.428030252,0.467532665
8401,0.458454192,0.374251068
8501,0.407390386,0.543130755
8601,0.393981367,0.425258309
8701,0.53434068,0.322320968
8801,0.388235688,0.421500444
8901,0.460250825,0.387883604
9001,0.352104038,0.421093434
9101,0.542273343,0.470336854
9201,0.48249796,0.445877582
9301,0.454919964,0.39616394
9401,0.441322744,0.407982141
9501,0.402917594,0.353860617
9601,0.586813986,0.337373137
9701,0.354779035,0.418464631
9801,0.409778595,0.485332072
9901,0.401674449,0.457814306
10001,0.333671361,0.419409603
10101,0.313103378,0.419568807
10201,0.45034948,0.362633765
10301,0.452509195,0.392328858
10401,0.376557916,0.520416975
10501,0.349517345,0.435628921
10601,0.468516767,0.367387682
10701,0.351230234,0.518962204
10801,0.533506215,0.552230477
10901,0.430493832,0.44857493
11001,0.37488547,0.39389056
11101,0.499727696,0.484713346
11201,0.39910233,0.387931645
11301,0.455777556,0.397116363
11401,0.456932724,0.480177492
11501,0.486757994,0.371239245
11601,0.442669988,0.469849825
11701,0.350353092,0.536457181
11801,0.362682372,0.415899366
11901,0.4216308,0.479582012
12001,0.460948855,0.424205869
12101,0.444123358,0.408953905
12201,0.434791684,0.406187147
12301,0.339559436,0.383112252
12401,0.341248363,0.439064711
12501,0.417774767,0.398415685
12601,0.405238956,0.363948345
12701,0.519431353,0.42037794
12801,0.438831449,0.46970439
12901,0.309004486,0.604002655
13001,0.488507926,0.466330737
13101,0.365068793,0.379099339
13201,0.400792122,0.34990409
13301,0.364881158,0.589020848
13401,0.479162544,0.364868939
13501,0.444425881,0.443900704
13601,0.437947392,0.5282318
13701,0.365941167,0.391709536
13801,0.581701219,0.528203547
13901,0.667145848,0.358416677
14001,0.431062728,0.625785887
14101,0.482373387,0.530303001
14201,0.479884535,0.503274024
14301,0.45480755,0.353847235
14401,0.300667346,0.45450148
14501,0.536870837,0.436453849
14601,0.480357796,0.435578316
14701,0.440156519,0.433816254
14801,0.354866713,0.397436231
14901,0.460306644,0.325774491
15001,0.386154264,0.419492483
15101,0.425651371,0.402085662
15201,0.438851625,0.481254905
15301,0.500240326,0.417403907
15401,0.369880915,0.44080019
15501,0.381249994,0.473638594
15601,0.381461859,0.453517556
15701,0.395887822,0.410364985
15801,0.546126664,0.367201507
15901,0.444432616,0.436326534
16001,0.456905305,0.564188778
16101,0.449304074,0.449446291
16201,0.510616958,0.484086812
16301,0.419129282,0.458354443
16401,0.435475379,0.430790961
16501,0.55466944,0.506105483
16601,0.452062935,0.509738803
16701,0.370922685,0.475668937
16801,0.4491449,0.413706571
16901,0.468969852,0.393244833
17001,0.448232889,0.383948684
17101,0.47924006,0.496710926
17201,0.485283375,0.457055122
17301,0.381601751,0.487648338
17401,0.342484891,0.361922324
17501,0.400465041,0.430844396
17601,0.412392557,0.467743188
17701,0.53550452,0.474290103
17801,0.386195749,0.452839375
17901,0.456637084,0.520903111
18001,0.427318275,0.382756561
18101,0.547003984,0.382763088
18201,0.387309462,0.423148602
18301,0.427374065,0.417161226
18401,0.543507278,0.462236017
18501,0.344813585,0.398818672
18601,0.394812912,0.44585079
18701,0.348333091,0.473845243
18801,0.397299796,0.521659434
18901,0.398743242,0.325929493
19001,0.415457338,0.527827144
19101,0.450937241,0.44568181
19201,0.470053852,0.415123701
19301,0.371569514,0.374542207
19401,0.427170813,0.34884724
19501,0.386639357,0.378231406
19601,0.440291822,0.495198667
19701,0.495257497,0.464235187
19801,0.418323278,0.360201687
19901,0.384922415,0.495439559
20001,0.49407053,0.366779506
20101,0.489732862,0.424123734
20201,0.417495608,0.517698467
20301,0.351534754,0.451771468
20401,0.444430321,0.44650951
20501,0.410509765,0.356361538
20601,0.34031105,0.455251336
20701,0.502677739,0.443983227
20801,0.428559899,0.43171078
20901,0.519383609,0.59256196
21001,0.49154672,0.369459331
21101,0.436133921,0.461079955
21201,0.329116017,0.488645613
21301,0.448543131,0.420390606
21401,0.476353765,0.49660182
21501,0.479735315,0.63544935
21601,0.415369391,0.469286293
21701,0.356157482,0.414389282
21801,0.474125087,0.477142543
21901,0.473636657,0.469461083
22001,0.450725794,0.488321304
22101,0.394481748,0.465279698
22201,0.420379341,0.590972006
22301,0.510733366,0.419364959
22401,0.460107237,0.461111784
22501,0.420969039,0.435919404
22601,0.387061208,0.410220206
22701,0.387211055,0.363791198
22801,0.374352336,0.377714336
22901,0.554755569,0.498687387
23001,0.511811614,0.384649903
23101,0.372026086,0.501184464
23201,0.536827505,0.332202435
23301,0.388581604,0.417215735
23401,0.416700155,0.384923458
23501,0.37533474,0.514492452
23601,0.381979913,0.524974346
23701,0.450953573,0.41720888
23801,0.373357087,0.398881048
23901,0.535219312,0.390008748
24001,0.371359944,0.454543233
24101,0.427343369,0.383504748
24201,0.496934921,0.392916381
24301,0.35778141,0.509374499
24401,0.475645065,0.469840854
24501,0.33330971,0.395615041
24601,0.41403681,0.565794885
24701,0.383801192,0.430444777
24801,0.408829093,0.346285313
24901,0.358545631,0.545609951
25001,0.359679401,0.446936071
25101,0.458172172,0.45337835
25201,0.466411978,0.394363582
25301,0.379511029,0.453626513
25401,0.417692512,0.383784652
25501,0.367978036,0.417136282
25601,0.35275647,0.471278608
25701,0.549813807,0.475721866
25801,0.506318688,0.370333403
25901,0.500789046,0.362557054
26001,0.455307782,0.395703256
26101,0.430657893,0.586145163
26201,0.405082494,0.472551048
26301,0.453199983,0.407332808
26401,0.493550897,0.575298429
26501,0.466334373,0.469582409
26601,0.456582993,0.381516784
26701,0.505522192,0.356855214
26801,0.338097692,0.465675712
26901,0.349910468,0.399635941
27001,0.450188518,0.360789418
27101,0.378694266,0.41086942
27201,0.403533012,0.400216132
27301,0.470269829,0.397269666
27401,0.517860293,0.377447456
27501,0.364584029,0.435041994
27601,0.408783257,0.387933254
27701,0.504050851,0.394789338
27801,0.37781617,0.430863827
27901,0.369686157,0.409097672
28001,0.384791464,0.414286643